Autonomous Community/City,Population,GDP,Colour
Andalucia,8446561,85233000000,#66a61e
Aragon,1324397,23954000000,#e6ab02
Cantabria,581949,16299000000,#e6ab02
Castilla y Leon,2402877,23653000000,#7570b3
Castilla-La Mancha,2220270,1.31066E+11,#d95f02
Cataluna,7609499,27565000000,#1b9e77
Ceuta,84434,2018000000,#e6ab02
Comunidad de Madrid,6685471,37152000000,#e6ab02
Comunidad Foral de Navarra,652526,48829000000,#66a61e
Comunidad Valenciana,4998711,10054000000,#7570b3
Extremadura,1062797,68410000000,#1b9e77
Galicia,2698764,73896000000,#1b9e77
Islas Baleares,1198576,2.72569E+11,#e7298a
La Rioja,314487,43742000000,#d95f02
Melilla,84286,1852000000,#e7298a
Pais Vasco,2181919,38432000000,#e7298a
Principado de Asturias,1019993,2.70074E+11,#d95f02
Region de Murcia,1494442,3870000000,#e7298a
